Period 1996 - 2005 - Country - Unnamed: 0_level_2,Period 1996 - 2005 - Population  (thousands) - Unnamed: 1_level_2,Period 1996 - 2005 - Water footprint of consumption of agricultural products - Internal,Period 1996 - 2005 - Water footprint of consumption of agricultural products - Internal.1,Period 1996 - 2005 - Water footprint of consumption of agricultural products - Internal.2,Period 1996 - 2005 - Water footprint of consumption of agricultural products - External,Period 1996 - 2005 - Water footprint of consumption of agricultural products - External.1,Period 1996 - 2005 - Water footprint of consumption of agricultural products - External.2,Period 1996 - 2005 - Water footprint of consumption of industrial products - Internal,Period 1996 - 2005 - Water footprint of consumption of industrial products - Internal.1,Period 1996 - 2005 - Water footprint of consumption of industrial products - External,Period 1996 - 2005 - Water footprint of consumption of industrial products - External.1,Period 1996 - 2005 - Water footprint of domestic water consumption - Unnamed: 12_level_2,Period 1996 - 2005 - Water footprint of domestic water consumption - Unnamed: 13_level_2,Period 1996 - 2005 - Total water footprint of national consumption - Internal,Period 1996 - 2005 - Total water footprint of national consumption - Internal.1,Period 1996 - 2005 - Total water footprint of national consumption - Internal.2,Period 1996 - 2005 - Total water footprint of national consumption - External,Period 1996 - 2005 - Total water footprint of national consumption - External.1,Period 1996 - 2005 - Total water footprint of national consumption - External.2,Period 1996 - 2005 - Total water footprint of national consumption - Total,Period 1996 - 2005 - Total water footprint of national consumption - Total.1,Period 1996 - 2005 - Total water footprint of national consumption - Total.2,Period 1996 - 2005 - Total water footprint of national consumption - Total.3
,,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Blue,Grey,blue,grey,Green,Blue,Grey,Green,Blue,Grey,Green,Blue,Grey,Total
Botswana,1725.8,1201.9894335678741,8.54301764867512,0,561.7293938357117,179.39884511936856,34.332702721934766,0.7406456769371182,13.720141184969856,0.4176423117267446,4.560322881567763,4.57758720593348,41.19828485340132,1201.9894335678741,13.861250531545718,54.91842603837117,561.7293938357117,179.81648743109528,38.89302560350253,1763.718827403586,193.67773796264098,93.8114516418737,2051.208017008101
Brazil,175307.6,1644.79566407713,48.47339102072562,55.3594735454939,159.60967370971673,11.83601803930123,6.129217833390255,2.3961623157525866,33.533458722674595,0.8388137393332439,8.681973513735805,6.856519626074397,48.632589202540444,1644.79566407713,57.7260729625526,137.52552147070892,159.60967370971673,12.674831778634474,14.81119134712606,1804.4053377868465,70.40090474118708,152.33671281783498,2027.1429553458686
Brunei Darussalam,336.80000000000007,25.523496515599902,0.02886957376056016,0.033575099399900284,2796.4131736560807,327.2837272637759,169.150577277823,0,0,6.837040080659139,95.3378761672242,0,0,25.523496515599902,0.02886957376056016,0.033575099399900284,2796.4131736560807,334.120767344435,264.4884534450472,2821.9366701716804,334.1496369181956,264.52202854444704,3420.608335634323
Bulgaria,7988.3,1478.9411795528692,7.523503776270649,124.66037561099758,330.2718834258704,45.226594031523334,19.67918938889478,13.718471967892427,139.61741252131705,2.329660717539288,32.54375964066734,13.84055431067937,88.45182354409891,1478.9411795528692,35.082530054842444,352.7296116764135,330.2718834258704,47.556254749062624,52.222949029562116,1809.2130629787396,82.63878480390507,404.95256070597566,2296.8044084886205
Burkina Faso,11950.2,1600.082440454781,15.769350339809534,20.171460979076066,37.40401170430199,14.416708284674714,3.99216470392431,0.02447527236708393,0.4633205689080718,0.14816874255354787,1.7412482310487982,0.8702783217017288,7.832504895315559,1600.082440454781,16.664103933878348,28.467286443299695,37.40401170430199,14.564877027228263,5.733412934973108,1637.486452159083,31.228980961106608,34.2006993782728,1702.9161324984623
Burundi,6651.7,677.3489472445658,14.106183493086137,0.8375026015640065,13.154126306883645,1.2412808473470154,1.2864393080523253,0.12456242276505472,2.3636755063836996,0.05396034717456589,0.6964523439976631,0.7366537877535067,6.62988408978156,677.3489472445658,14.9673997036047,9.831062197729265,13.154126306883645,1.2952411945215812,1.9828916520499884,690.5030735514495,16.26264089812628,11.813953849779255,718.579668299355
Cambodia,12834.1,955.7364474452767,53.615008879742255,2.098207459126657,47.729652593566506,8.04952427377752,4.190403850984517,0.03074940929059712,0.2397725845649014,0.20242302147902633,1.3613533507677111,0.4675045386898964,4.207540848209067,955.7364474452767,54.11326282772275,6.545520891900626,47.729652593566506,8.251947295256544,5.551757201752229,1003.4661000388431,62.36521012297929,12.097278093652855,1077.9285882554752
Cameroon,16080.9,1144.7744429895274,9.209208358112939,8.545103163567838,37.54282275083631,20.99500986920343,6.837289490360628,0.17984974175132898,3.313605280868116,0.2044166418028753,2.213299126563935,1.1193403354289873,10.074063018860885,1144.7744429895274,10.508398435293255,21.932771463296838,37.54282275083631,21.1994265110063,9.050588616924564,1182.3172657403638,31.70782494629956,30.983360080221402,1245.0084507668848
Canada,30889.0,1345.0913789819822,24.918029680127265,172.4399517067515,254.9375062089859,60.490271282397515,30.828309178826103,25.713303220278302,140.76521194064426,13.33640755766151,122.81767111725411,29.10421185535304,112.88811121704202,1345.0913789819822,79.73554475575861,426.0932748644377,254.9375062089859,73.82667884005903,153.6459802960802,1600.028885190968,153.56222359581764,579.739255160518,2333.3303639473033
Cape Verde,442.6,599.2698034022292,22.4699092252247,0,495.1199258194468,63.82466112335722,46.56126403767632,0.04295290838608074,0.8152633493821958,1.1756601749683628,11.197417049808431,0.3615002259376412,3.253502033438771,599.2698034022292,22.87436235954842,4.068765382820967,495.1199258194468,65.00032129832557,57.758681087484746,1094.389729221676,87.874683657874,61.827446470305716,1244.0918593498554
Central African Republic,3772.3000000000006,1147.8223098265191,18.760484381515692,0.03891000116289276,14.443938538828506,2.894228130026261,3.049575271015619,0.027742579028825685,0.5355433706426377,0.025707148194936073,0.24428280349830322,0.5301805264692627,4.771624738223364,1147.8223098265191,19.31840748701378,5.346078110028896,14.443938538828506,2.919935278221197,3.2938580745139223,1162.2662483653476,22.238342765234975,8.639936184542817,1193.1445273151255
Chad,8614.3,1424.9763113251192,19.879403364580202,0.001189112650819694,7.6828633725807745,2.556088895886895,1.3819805762959463,0,0,0.05372484432468049,0.491195995337943,0.46434417190021243,4.179097547101912,1424.9763113251192,20.343747536480414,4.180286659752731,7.6828633725807745,2.6098137402115755,1.8731765716338893,1432.6591746977,22.95356127669199,6.053463231386622,1461.6661992057786
Chile,15492.1,451.456278224831,135.6030078326122,122.32155004232558,327.29752080691526,17.953961244235494,16.89974477835101,6.016004593968768,20.11015993554622,2.0850509995917488,21.641811882476294,9.165962006441992,24.073969047922695,451.456278224831,150.78497443302297,166.5056790257945,327.29752080691526,20.03901224382724,38.541556660827304,778.7537990317463,170.8239866768502,205.04723568662178,1154.6250213952185
China,1277208.3,614.3303119511764,98.45025387768437,170.04458233318348,86.18603118914137,10.88786116516342,5.261023299031733,2.5200957393336294,31.72798740118453,0.30710740587140356,4.172622576029776,5.28731296218479,41.91369515096661,614.3303119511764,106.25766257920277,243.68626488533465,86.18603118914137,11.194968571034824,9.43364587506151,700.5163431403178,117.45263115023761,253.11991076039612,1071.0888850509514
